CustomerID,FirstName,LastName,Email,SignUpDate
ad2576f4-b26f-4943-9634-88dbb88d513b,Alia,Tailor,alia.tailor@gmail.com,2018-10-20
449ac86b-dda4-419c-89b9-fdc4f74bdfb8,Aayush,Rana,aayush.rana@gmail.com,2021-04-20
370ba484-80bb-4e0b-9bb0-dbc0d88808ef,Nirvaan,Dugal,nirvaan.dugal@gmail.com,2021-09-03
eb12a0d7-345d-4fd6-a231-6d9d89e10265,Kartik,Karpe,kartik.karpe@gmail.com,2021-03-24
c9c59c4a-66d0-465c-b495-1b244bbd2dcd,Pihu,Buch,pihu.buch@gmail.com,2021-11-18
ef2a4bd3-78af-4d65-a2a4-74cc04abf727,Devansh,Jha,devansh.jha@gmail.com,2018-12-07
39f2f7ae-e54c-4d86-8fbb-3b6b64cbffd6,Mamooty,Sule,mamooty.sule@gmail.com,2021-07-02
c8ff526c-8476-4ef2-8807-f610e3c3cf58,Shray,Balasubramanian,shray.balasubramanian@gmail.com,2021-03-31
43ca734d-f4a5-42f4-924a-f10a50697a50,Anya,Madan,anya.madan@gmail.com,2019-07-27
a2fbcfff-ec4e-4cf1-a740-e81532450f78,Vivaan,Kala,vivaan.kala@gmail.com,2022-11-10
b73a6715-710d-4c7f-b122-f6ff776cc7fe,Chirag,Thakur,chirag.thakur@gmail.com,2019-02-05
5d6e8334-7d12-4037-bce9-6cecc8832384,Aaina,Rajagopalan,aaina.rajagopalan@gmail.com,2021-05-06
1b8d3f2a-a874-47e3-8faa-40e9c7716119,Arnav,Tiwari,arnav.tiwari@gmail.com,2023-01-22
e33a4b18-0caf-4a04-94b8-a8d2f6d22d58,Romil,Bandi,romil.bandi@gmail.com,2021-07-19
92a41d72-bb02-4092-af32-490e0083018c,Aradhya,Rege,aradhya.rege@gmail.com,2018-11-05
e9797965-f183-45e0-b538-bd86d8e888fd,Shlok,Tank,shlok.tank@gmail.com,2020-10-21
aabf158d-e0ff-404d-bcab-5ddb00c59dc9,Aaina,Kalita,aaina.kalita@gmail.com,2020-08-15
c7b89365-7c70-45c9-ac97-e97d7722060e,Kaira,Setty,kaira.setty@gmail.com,2019-05-01
0dd92264-e7bd-4f2a-acf2-62e8a8227aac,Vritika,Chaudry,vritika.chaudry@gmail.com,2023-01-15
ae06bf25-196b-46db-aee9-8256f24d756a,Kimaya,Doshi,kimaya.doshi@gmail.com,2021-03-24
9f4815da-dded-4620-b035-f75a6153cfe1,Priyansh,Mane,priyansh.mane@gmail.com,2020-08-02
94f2552f-e82f-4b65-a6b6-e32952d0f7ad,Vardaniya,Zachariah,vardaniya.zachariah@gmail.com,2023-06-29
06d21e6c-0972-4c21-889d-a065bd4e938f,Miraya,Kunda,miraya.kunda@gmail.com,2022-05-02
7df11bab-2eaf-4bd0-ba8e-707d4b6b7c71,Samaira,Rao,samaira.rao@gmail.com,2019-12-22
0cc54f7a-000f-4051-8543-ad84f21b4506,Romil,Lalla,romil.lalla@gmail.com,2023-05-05
e6d2c96f-240c-4aef-a029-8bd7f0b84964,Ira,Krishnan,ira.krishnan@gmail.com,2020-08-17
1d4cc8ca-930f-4814-9ea2-718e6c00d55f,Veer,Sandhu,veer.sandhu@gmail.com,2021-10-08
33378fc6-fc33-4458-b2a1-a200e19ee4da,Ira,Kala,ira.kala@gmail.com,2021-03-18
76c00735-50d8-4ece-a207-d6c362281cff,Bhamini,Verma,bhamini.verma@gmail.com,2021-12-14
af386c53-4f41-49a0-9470-1454c2bdb6a9,Shayak,Choudhury,shayak.choudhury@gmail.com,2019-09-23
8509c8d1-e2d9-4096-8270-d01d6da1689d,Adira,Dash,adira.dash@gmail.com,2019-02-17
6b063c0d-6f4f-4f51-ba12-9896d825ebef,Badal,Karan,badal.karan@gmail.com,2019-07-09
078ef2e5-27d8-4d92-af88-feba96910fab,Rania,Chaudhari,rania.chaudhari@gmail.com,2020-03-10
0fa96957-d93e-427b-a8a1-82efbe6936c7,Reyansh,Dhingra,reyansh.dhingra@gmail.com,2021-04-04
2ea2c485-26d6-4c2a-bb3e-88619b98a61f,Himmat,Sha,himmat.sha@gmail.com,2022-03-19
947b55a3-82d0-4684-a0a9-481d163b7c31,Ranbir,Tandon,ranbir.tandon@gmail.com,2023-05-23
27eb4946-7cb2-4d9f-a62e-ad9a80867c76,Vardaniya,Goyal,vardaniya.goyal@gmail.com,2019-02-24
507cfda8-6d36-4a96-addb-143b21f70c02,Anika,Krishnamurthy,anika.krishnamurthy@gmail.com,2022-11-26
8a050c29-d547-416f-9b5a-5507f25a72e0,Sumer,Shukla,sumer.shukla@gmail.com,2018-09-30
0c9e0d38-700d-42b7-8653-f285ef1334cc,Onkar,Gala,onkar.gala@gmail.com,2021-09-24
